"Date","Hour","pm25_merra2","pm25_stations"
2023-01-01,0,5.30785234736575,NA
2023-01-01,1,6.21694409685795,NA
2023-01-01,2,7.00233807153946,NA
2023-01-01,3,7.68069997032304,NA
2023-01-01,4,8.30670494312183,NA
2023-01-01,5,8.90959747354246,NA
2023-01-01,6,9.48820074386819,51.1538461538462
2023-01-01,7,10.0145023041366,67.5384615384615
2023-01-01,8,10.4164612661333,88.0714285714286
2023-01-01,9,10.616903034509,96.3846153846154
2023-01-01,10,10.553060353332,108.833333333333
2023-01-01,11,10.2427804267636,113.615384615385
2023-01-01,12,9.80437626261124,108.571428571429
2023-01-01,13,9.42661664400771,100.75
2023-01-01,14,8.07455681660863,111
2023-01-01,15,4.51883686975558,100.333333333333
2023-01-01,16,3.50814918647638,93.0769230769231
2023-01-01,17,3.17993993493548,41.6923076923077
2023-01-01,18,2.89579327715925,25.5
2023-01-01,19,2.94050492140874,15.5
2023-01-01,20,2.94095283462741,10.1666666666667
2023-01-01,21,3.3140025866824,NA
2023-01-01,22,3.38241900579977,NA
2023-01-01,23,3.76604304273323,NA
2023-01-02,0,4.55811758475443,8.33333333333333
2023-01-02,1,5.35424903499028,10.5384615384615
2023-01-02,2,6.0724564930647,12.9285714285714
2023-01-02,3,6.72623194967748,13.5
2023-01-02,4,7.29042415478536,15.5
2023-01-02,5,7.67574161528979,14.5
2023-01-02,6,7.89792209858585,14.2857142857143
2023-01-02,7,8.06091169120209,15.2142857142857
2023-01-02,8,8.22108876768452,11.4285714285714
2023-01-02,9,8.34640905684264,10.6428571428571
2023-01-02,10,8.57547738297128,11.7857142857143
2023-01-02,11,8.90514223070038,10.9285714285714
2023-01-02,12,9.7143730390689,12.9285714285714
2023-01-02,13,10.4188558470638,15.6428571428571
2023-01-02,14,8.26070613259041,12.7857142857143
2023-01-02,15,4.80874707163741,7.71428571428571
2023-01-02,16,3.79300917850624,5.46153846153846
2023-01-02,17,3.40167599277644,7.23076923076923
2023-01-02,18,3.06641654675179,8.72727272727273
2023-01-02,19,3.18806905655369,8.81818181818182
2023-01-02,20,3.16573564914168,8.6
2023-01-02,21,3.36723485174653,7.83333333333333
2023-01-02,22,3.56398245960208,8.45454545454546
2023-01-02,23,4.02473579568982,7.5
2023-01-03,0,4.83633851665321,13.25
2023-01-03,1,5.68134981110087,14.3571428571429
2023-01-03,2,6.48222582304247,12.2142857142857
2023-01-03,3,7.22213447918818,13.4285714285714
2023-01-03,4,7.8333272066657,14.5
2023-01-03,5,8.33429151497903,12
2023-01-03,6,8.72125070555751,11.8666666666667
2023-01-03,7,8.90696558716682,12.5333333333333
2023-01-03,8,9.15643154942334,10.4
2023-01-03,9,9.53181055009117,9.33333333333333
2023-01-03,10,9.98917934006981,10.8666666666667
2023-01-03,11,10.1305981076431,11.4666666666667
2023-01-03,12,10.562402560466,8.53333333333333
2023-01-03,13,11.2471369616991,10.6428571428571
2023-01-03,14,9.35278704352732,12.9285714285714
2023-01-03,15,5.21038096239988,11.6923076923077
2023-01-03,16,3.52478974183178,8.84615384615385
2023-01-03,17,3.10749100586322,8
2023-01-03,18,2.60901565436045,7.35714285714286
2023-01-03,19,2.71583434427917,6.90909090909091
2023-01-03,20,2.84761237976214,8.09090909090909
2023-01-03,21,2.58983065119609,7.07692307692308
2023-01-03,22,2.87242726027857,11
2023-01-03,23,3.33054758592018,12.4615384615385
2023-01-04,0,4.27782685024073,14.2307692307692
2023-01-04,1,5.31473097010077,12.6428571428571
