"Date","Hour","pm25_merra2","pm25_stations"
2023-01-01,0,9.37439803207428,NA
2023-01-01,1,10.1473628747781,NA
2023-01-01,2,8.88185803842466,NA
2023-01-01,3,11.5099470076555,NA
2023-01-01,4,13.0324086626142,NA
2023-01-01,5,12.0077048219286,8.52941176470588
2023-01-01,6,13.6197454435379,42.6666666666667
2023-01-01,7,14.2767249536015,44.8461538461538
2023-01-01,8,12.9894804046663,42
2023-01-01,9,13.1459158647191,35.4705882352941
2023-01-01,10,9.50291683591595,30.8235294117647
2023-01-01,11,7.8590996474221,25.7058823529412
2023-01-01,12,5.77516168812632,24.5625
2023-01-01,13,5.68198775564544,24.9411764705882
2023-01-01,14,5.78597579086843,20.6470588235294
2023-01-01,15,5.98162848205632,15
2023-01-01,16,7.10246881723202,11.8235294117647
2023-01-01,17,7.80809226924223,5.625
2023-01-01,18,8.47326782168858,11.5294117647059
2023-01-01,19,9.15448856471765,11.2666666666667
2023-01-01,20,9.71770437528501,23.4666666666667
2023-01-01,21,10.5604138680642,NA
2023-01-01,22,11.7413140048615,NA
2023-01-01,23,12.7971286985449,NA
2023-01-02,0,16.3622820035594,24.7058823529412
2023-01-02,1,18.2533063278384,22.7647058823529
2023-01-02,2,16.94820163349,18.4117647058824
2023-01-02,3,17.6558278136418,13.2352941176471
2023-01-02,4,17.3563986349638,10.5294117647059
2023-01-02,5,15.4015855562399,9.375
2023-01-02,6,16.3909217406816,10.1764705882353
2023-01-02,7,17.0467374183724,11.5
2023-01-02,8,15.8169118625694,8.77777777777778
2023-01-02,9,16.0653349839076,9.27777777777778
2023-01-02,10,14.550215074859,9.61111111111111
2023-01-02,11,11.3746858941456,9
2023-01-02,12,6.92680284115457,8.83333333333333
2023-01-02,13,5.91661129597979,7.8235294117647
2023-01-02,14,5.395661971638,7.23529411764706
2023-01-02,15,5.23831354846509,7.72222222222222
2023-01-02,16,5.29117188102905,6.55555555555555
2023-01-02,17,5.36144718686874,4.83333333333333
2023-01-02,18,6.95368022810109,5.27777777777778
